model,instance_id,exit_status,wall_seconds,has_diff,patch_bytes,pred_path,traj_path,usage_path
kimi-k2.5,instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371,Submitted,491.68,True,22329,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371.usage.json
kimi-k2.5,instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8,Submitted,610.704,True,799330,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8.usage.json
kimi-k2.5,instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,Submitted,223.324,True,2447,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d.usage.json
kimi-k2.5,instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,Submitted,365.282,True,3138,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171.usage.json
kimi-k2.5,instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,Submitted,380.72,True,5220,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/predictions/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.pred,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/trajectories/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.traj.json,runs/swepro-15task-mini-20260608/generation/kimi-k2.5/sample-000/usage/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.usage.json
claude-opus-4-8,instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,Submitted,124.134,False,0,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_NodeBB__NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e.usage.json
claude-opus-4-8,instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,Submitted,577.217,True,807,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59.usage.json
claude-opus-4-8,instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59,Submitted,373.869,True,13245,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59.usage.json
claude-opus-4-8,instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan,Submitted,337.399,True,4927,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan.usage.json
claude-opus-4-8,instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06,Submitted,184.075,True,6284,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06.usage.json
claude-opus-4-8,instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f,Submitted,178.752,True,1232,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f.usage.json
claude-opus-4-8,instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07,Submitted,393.662,False,0,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07.usage.json
claude-opus-4-8,instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,Submitted,286.519,True,3831,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_gravitational__teleport-2bb3bbbd8aff1164a2353381cb79e1dc93b90d28-vee9b09fb20c43af7e520f57e9239bbcf46b7113d.usage.json
claude-opus-4-8,instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,Submitted,206.98,True,6348,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818.usage.json
claude-opus-4-8,instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb,Submitted,127.895,False,0,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_internetarchive__openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb.usage.json
claude-opus-4-8,instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371,Submitted,119.498,False,0,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_navidrome__navidrome-f7d4fcdcc1a59d1b4f835519efb402897757e371.usage.json
claude-opus-4-8,instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8,Submitted,203.752,True,793806,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_protonmail__webclients-863d524b5717b9d33ce08a0f0535e3fd8e8d1ed8.usage.json
claude-opus-4-8,instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,Submitted,125.754,True,2579,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_qutebrowser__qutebrowser-5fdc83e5da6222fe61163395baaad7ae57fa2cb4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d.usage.json
claude-opus-4-8,instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,Submitted,165.126,True,6110,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171.usage.json
claude-opus-4-8,instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,Submitted,726.388,True,7269,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/predictions/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.pred,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/trajectories/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.traj.json,runs/swepro-15task-mini-20260608/generation/claude-opus-4-8/sample-000/usage/instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf.usage.json
